,Feature ID,Feature Name
0,5515,udspecRasta_lengthL1norm_sma_de_stddevRisingSlope numeric
1,5267,fcc_sma[5]_peakMeanRel numeric
2,1622,fcc_sma[4]_percentile99.0 numeric
3,5064,cm_fftMag_spectralSkewness_sma_meanFallingSlope numeric
4,1449,cm_fftMag_spectralSlope_sma_risetime numeric
5,2640,udSpec_Rfilt_sma_de[22]_quartile3 numeric
6,2949,cm_fftMag_spectralFlux_sma_de_quartile2 numeric
7,150,udspec_lengthL1norm_sma_de_lpc0 numeric
8,612,udSpec_Rfilt_sma[11]_risetime numeric
9,2671,udSpec_Rfilt_sma_de[23]_quartile3 numeric
10,1620,fcc_sma[4]_iqr1-3 numeric
11,3698,oicingFinalUnclipped_sma_flatness numeric
12,252,udSpec_Rfilt_sma[0]_quartile2 numeric
13,3731,oicingFinalUnclipped_sma_lpc0 numeric
14,1497,cm_fftMag_spectralHarmonicity_sma_percentile1.0 numeric
15,1284,cm_fftMag_spectralCentroid_sma_skewness numeric
16,5219,fcc_sma[3]_peakMeanAbs numeric
17,5755,udSpec_Rfilt_sma_de[13]_stddevRisingSlope numeric
18,1588,fcc_sma[3]_iqr2-3 numeric
19,3094,cm_fftMag_spectralSkewness_sma_de_lpgain numeric
20,3730,oicingFinalUnclipped_sma_lpgain numeric
21,2038,udSpec_Rfilt_sma_de[2]_risetime numeric
22,4182,cm_RMSenergy_sma_peakRangeAbs numeric
23,4992,cm_fftMag_spectralCentroid_sma_minRangeRel numeric
24,5029,cm_fftMag_spectralVariance_sma_flatness numeric
25,5212,fcc_sma[3]_amean numeric
26,4286,udSpec_Rfilt_sma[2]_linregerrQ numeric
27,4178,cm_RMSenergy_sma_flatness numeric
28,408,udSpec_Rfilt_sma[5]_quartile3 numeric
29,409,udSpec_Rfilt_sma[5]_iqr1-2 numeric
30,1867,fcc_sma[12]_iqr2-3 numeric
31,1916,fcc_sma[13]_lpgain numeric
32,5942,cm_fftMag_fband250-650_sma_de_peakDistStddev numeric
33,2701,udSpec_Rfilt_sma_de[24]_quartile2 numeric
34,439,udSpec_Rfilt_sma[6]_quartile3 numeric
35,161,udspecRasta_lengthL1norm_sma_de_iqr1-2 numeric
36,1668,fcc_sma[5]_lpgain numeric
37,5754,udSpec_Rfilt_sma_de[13]_meanRisingSlope numeric
38,3300,fcc_sma_de[3]_kurtosis numeric
39,3264,fcc_sma_de[2]_percentile1.0 numeric
40,4836,cm_fftMag_fband250-650_sma_linregc1 numeric
41,3268,fcc_sma_de[2]_skewness numeric
42,15,udspec_lengthL1norm_sma_meanSegLen numeric
43,449,udSpec_Rfilt_sma[6]_meanSegLen numeric
44,271,udSpec_Rfilt_sma[0]_risetime numeric
45,1566,fcc_sma[2]_maxSegLen numeric
46,5770,udSpec_Rfilt_sma_de[14]_stddevRisingSlope numeric
47,3259,fcc_sma_de[2]_quartile2 numeric
48,6317,fcc_sma_de[11]_peakDistStddev numeric
49,6287,fcc_sma_de[9]_peakDistStddev numeric
50,5044,cm_fftMag_spectralVariance_sma_linregc2 numeric
51,1522,fcc_sma[1]_quartile1 numeric
52,441,udSpec_Rfilt_sma[6]_iqr2-3 numeric
53,5130,cm_fftMag_psySharpness_sma_minRangeRel numeric
54,46,udspecRasta_lengthL1norm_sma_meanSegLen numeric
55,2070,udSpec_Rfilt_sma_de[3]_leftctime numeric
56,5379,fcc_sma[10]_peakRangeRel numeric
57,3375,fcc_sma_de[5]_lpc1 numeric
58,1390,cm_fftMag_spectralSkewness_sma_lpc0 numeric
59,5742,udSpec_Rfilt_sma_de[12]_stddevFallingSlope numeric
60,1570,fcc_sma[2]_upleveltime50 numeric
61,3136,cm_fftMag_spectralSlope_sma_de_quartile3 numeric
62,3328,fcc_sma_de[4]_pctlrange0-1 numeric
63,573,udSpec_Rfilt_sma[10]_meanSegLen numeric
64,6088,cm_fftMag_spectralSkewness_sma_de_flatness numeric
65,3079,cm_fftMag_spectralSkewness_sma_de_percentile99.0 numeric
66,585,udSpec_Rfilt_sma[10]_lpc1 numeric
67,5321,fcc_sma[7]_linregerrQ numeric
68,1898,fcc_sma[13]_iqr2-3 numeric
69,3476,fcc_sma_de[9]_quartile2 numeric
